Date,Rep,Rep Real,"Treatment Chosen (UV Sanitized Grain, Aspergillus flavus inoculated grain, Fusarium inoculated grain, negative control)",Time to decision (in sec) ,Species,Individual,Comments
6/22/2021,1,1,NC,18,CB,1,
6/22/2021,2,1,AF,87,CB,1,
6/22/2021,3,1,UV,135,CB,1,
6/22/2021,4,1,NR,180,CB,1,
6/22/2021,5,1,AF,23,CB,1,
6/22/2021,6,1,NR,180,CB,1,
6/22/2021,7,1,NR,180,CB,1,
6/22/2021,8,1,NR,180,CB,1,
6/22/2021,9,1,UV,20,CB,1,
6/22/2021,10,1,NC,5,CB,1,
6/22/2021,11,2,UV,84,CB,1,
6/22/2021,12,2,FS,150,CB,1,
6/22/2021,13,2,FS,21,CB,1,
6/22/2021,14,2,AF,60,CB,1,
6/22/2021,15,2,FS,63,CB,1,
6/23/2021,16,2,FS,180,CB,1,
6/23/2021,17,2,FS,178,CB,1,
6/23/2021,18,2,UV,179,CB,1,
6/23/2021,19,2,AF,8,CB,1,
6/23/2021,20,2,NR,180,CB,1,
6/23/2021,21,3,AF,139,CB,1,
6/23/2021,22,3,FS,75,CB,1,
6/23/2021,23,3,AF,19,CB,1,
6/23/2021,24,3,NC,22,CB,1,
6/23/2021,25,3,AF,45,CB,1,
6/23/2021,26,3,NR,180,CB,1,
6/23/2021,27,3,NR,180,CB,1,
6/23/2021,28,3,NR,180,CB,1,
6/23/2021,29,3,UV,90,CB,1,
6/23/2021,30,3,UV,45,CB,1,
6/23/2021,31,4,NC,77,CB,1,
6/23/2021,32,4,FS,65,CB,1,
6/23/2021,33,4,AF,47,CB,1,
6/23/2021,34,4,AF,70,CB,1,
6/23/2021,35,4,FS,25,CB,1,
6/23/2021,36,4,UV,113,CB,1,
6/23/2021,37,4,NC,147,CB,1,
6/23/2021,38,4,AF,10,CB,1,
6/23/2021,39,4,NC,58,CB,1,
6/23/2021,40,4,FS,174,CB,1,
6/23/2021,41,5,AF,130,CB,1,
6/23/2021,42,5,FS,104,CB,1,
6/23/2021,43,5,FS,57,CB,1,
6/23/2021,44,5,AF,77,CB,1,
6/23/2021,45,5,UV,150,CB,1,
6/23/2021,46,5,NC,17,CB,1,
6/23/2021,47,5,AF,28,CB,1,
6/23/2021,48,5,FS,49,CB,1,
6/24/2021,49,5,UV,97,CB,1,
6/24/2021,50,5,UV,116,CB,1,
6/24/2021,51,6,FS,25,CB,1,
6/24/2021,52,6,NC,8,CB,1,
6/24/2021,53,6,FS,20,CB,1,
6/24/2021,54,6,FS,36,CB,1,
6/24/2021,55,6,AF,156,CB,1,
6/24/2021,56,6,UV,36,CB,1,
6/24/2021,57,6,UV,50,CB,1,
6/24/2021,58,6,AF,152,CB,1,
6/24/2021,59,6,AF,97,CB,1,
6/24/2021,60,6,FS,101,CB,1,
6/24/2021,61,7,AF,234,CB,1,
6/24/2021,62,7,UV,161,CB,1,
6/24/2021,63,7,NR,240,CB,1,
6/24/2021,64,7,UV,52,CB,1,
6/24/2021,65,7,NC,11,CB,1,
6/24/2021,66,7,NR,240,CB,1,
6/24/2021,67,7,FS,110,CB,1,
6/24/2021,68,7,NR,240,CB,1,
6/24/2021,69,7,NC,9,CB,1,
6/24/2021,70,7,AF,173,CB,1,
6/24/2021,71,8,NC,66,CB,1,
6/24/2021,72,8,NR,240,CB,1,
6/24/2021,73,8,NC,5,CB,1,
6/24/2021,74,8,NC,39,CB,1,
6/24/2021,75,8,AF,49,CB,1,
6/24/2021,76,8,AF,15,CB,1,
6/24/2021,77,8,UV,120,CB,1,
6/24/2021,78,8,NC,128,CB,1,
6/24/2021,79,8,NC,111,CB,1,
6/24/2021,80,8,UV,63,CB,1,
6/24/2021,81,9,UV,81,CB,1,
6/24/2021,82,9,AF,133,CB,1,
6/24/2021,83,9,FS,21,CB,1,
6/24/2021,84,9,UV,34,CB,1,
6/24/2021,85,9,FS,71,CB,1,
6/24/2021,86,9,NC,19,CB,1,
6/24/2021,87,9,FS,86,CB,1,
6/24/2021,88,9,UV,70,CB,1,
6/24/2021,89,9,UV,9,CB,1,
6/24/2021,90,10,NC,178,CB,1,
6/24/2021,91,10,FS,121,CB,1,
6/24/2021,92,10,NC,65,CB,1,
6/24/2021,93,10,AF,7,CB,1,
6/24/2021,94,10,AF,28,CB,1,
6/24/2021,95,10,UV,135,CB,1,
6/24/2021,96,10,AF,179,CB,1,
6/24/2021,97,10,UV,37,CB,1,
6/24/2021,98,10,AF,20,CB,1,
6/24/2021,99,10,UV,26,CB,1,
6/24/2021,100,11,UV,10,CB,1,
6/28/2021,101,11,UV,65,CB,1,
6/28/2021,102,11,AF,165,CB,1,
6/28/2021,103,11,UV,190,CB,1,
6/28/2021,104,11,NC,22,CB,1,
6/28/2021,105,11,AF,164,CB,1,
6/28/2021,106,11,UV,32,CB,1,
6/28/2021,107,11,FS,144,CB,1,
6/28/2021,108,11,UV,20,CB,1,
6/28/2021,109,11,UV,151,CB,1,
6/28/2021,110,12,NC,192,CB,1,
6/28/2021,111,12,UV,47,CB,1,
6/28/2021,112,12,FS,176,CB,1,
6/28/2021,113,12,NC,44,CB,1,
6/28/2021,114,12,AF,175,CB,1,
6/28/2021,115,12,FS,15,CB,1,
7/1/2021,116,12,UV,160,CB,1,
7/1/2021,117,12,NR,240,CB,1,
7/1/2021,118,12,UV,240,CB,1,
7/1/2021,119,12,AF,67,CB,1,
7/1/2021,120,13,NR,240,CB,1,
7/1/2021,121,13,NR,240,CB,1,
7/1/2021,122,13,UV,173,CB,1,
7/2/2021,123,13,UV,93,CB,1,
7/2/2021,124,13,NC,137,CB,1,
7/2/2021,125,13,NR,240,CB,1,
7/2/2021,126,13,NC,196,CB,1,
7/2/2021,127,13,NC,89,CB,1,
7/2/2021,128,13,UV,135,CB,1,
7/2/2021,129,13,UV,184,CB,1,
7/2/2021,130,14,UV,169,CB,1,
7/2/2021,131,14,UV,169,CB,1,
7/2/2021,132,14,FS,37,CB,1,
7/2/2021,133,14,FS,84,CB,1,
7/2/2021,134,14,NC,17,CB,1,
7/2/2021,135,14,AF,46,CB,1,
7/2/2021,136,14,FS,190,CB,1,
7/2/2021,137,14,UV,22,CB,1,
7/2/2021,138,14,FS,62,CB,1,
7/2/2021,139,14,UV,84,CB,1,
7/2/2021,140,15,NR,240,CB,1,
7/2/2021,141,15,AF,55,CB,1,
7/2/2021,142,15,AF,17,CB,1,
7/2/2021,143,15,NC,178,CB,1,
7/2/2021,144,15,UV,17,CB,1,
7/2/2021,145,15,NR,240,CB,1,
7/2/2021,146,15,NR,240,CB,1,
7/2/2021,147,15,NR,240,CB,1,
7/2/2021,148,15,AF,115,CB,1,
7/2/2021,149,15,FS,194,CB,1,
7/2/2021,150,16,AF,125,CB,1,
7/2/2021,151,16,FS,122,CB,1,
7/6/2021,152,16,FS,20,CB,1,
7/6/2021,153,16,NC,72,CB,1,
7/6/2021,154,16,FS,64,CB,1,
7/6/2021,155,16,NC,171,CB,1,
7/6/2021,156,16,AF,233,CB,1,
7/6/2021,157,16,NC,172,CB,1,
7/6/2021,158,16,AF,161,CB,1,
7/6/2021,159,16,FS,60,CB,1,
7/6/2021,160,17,AF,69,CB,1,
7/6/2021,161,17,UV,235,CB,1,
7/6/2021,162,17,UV,110,CB,1,
7/6/2021,163,17,NC,53,CB,1,
7/6/2021,164,17,NC,135,CB,1,
7/6/2021,165,17,NC,46,CB,1,
7/6/2021,166,17,FS,90,CB,1,
7/6/2021,167,17,AF,50,CB,1,
7/6/2021,168,17,NC,217,CB,1,
7/6/2021,169,17,AF,83,CB,1,
7/6/2021,170,18,AF,116,CB,1,
7/6/2021,171,18,AF,139,CB,1,
7/6/2021,172,18,AF,237,CB,1,
7/6/2021,173,18,NC,53,CB,1,
7/6/2021,174,18,NC,85,CB,1,
7/6/2021,175,18,UV,10,CB,1,
7/6/2021,176,18,NC,64,CB,1,
7/6/2021,177,18,UV,91,CB,1,
7/6/2021,178,18,FS,226,CB,1,
7/6/2021,179,18,AF,158,CB,1,
7/6/2021,180,19,UV,112,CB,1,
7/6/2021,181,19,NC,238,CB,1,
7/6/2021,182,19,NC,210,CB,1,
7/6/2021,183,19,AF,109,CB,1,
7/6/2021,184,19,NC,90,CB,1,
7/6/2021,185,19,FS,41,CB,1,
7/6/2021,186,19,UV,97,CB,1,
7/6/2021,187,19,FS,63,CB,1,
7/6/2021,188,19,AF,190,CB,1,
7/6/2021,189,19,FS,20,CB,1,
7/6/2021,190,20,UV,58,CB,1,
7/6/2021,191,20,UV,46,CB,1,
7/6/2021,192,20,UV,56,CB,1,
7/6/2021,193,20,AF,113,CB,1,
7/6/2021,194,20,AF,26,CB,1,
7/6/2021,195,20,NR,240,CB,1,
7/6/2021,196,20,AF,26,CB,1,
7/6/2021,197,20,UV,111,CB,1,
7/6/2021,198,20,NR,240,CB,1,
7/6/2021,199,20,UV,115,CB,1,
7/6/2021,200,20,UV,200,CB,1,
