Compound,Ret Time,AF-Grain: Rep 1 ,AF-Grain: Rep 2 ,AF-Grain: Rep 3 ,AF-Grain: Rep 4 ,AF-Grain: Rep 5 ,AF-Grain: Rep 6 ,AF-Grain: Rep 7 ,FS-Grain: Rep 1 ,FS-Grain: Rep 2 ,FS-Grain: Rep 3 ,FS-Grain: Rep 4 ,FS-Grain: Rep 5 ,FS-Grain: Rep 6 ,P. Ctrl: Rep 1 ,P. Ctrl: Rep 2 ,P. Ctrl: Rep 3 ,P. Ctrl: Rep 4 ,P. Ctrl: Rep 5 ,P. Ctrl: Rep 6 ,UV-Grain: Rep 1 ,UV-Grain: Rep 2 ,UV-Grain: Rep 3 ,UV-Grain: Rep 4 ,UV-Grain: Rep 6 ,UV-Grain: Rep 7 ,Neg. Ctrl: Rep 1 ,Neg. Ctrl: Rep 2 ,Neg. Ctrl: Rep 3 ,Neg. Ctrl: Rep 4 ,Neg. Ctrl: Rep 5 ,Neg. Ctrl: Rep 6 ,,,,,,P. Ctrl,,,,,,UV-Grain,,,,,,A. flavus-Grain,,,,,,Fusarium spp-Grain,,,,
"(4-Ethylbenzamide - 72%/149; 2H-Benzotriazole, 2-methyl- - 27%/133; Phthalic acid, 2-(2-nitrophenyl)ethyl pentyl ester -27%/385) | (1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane - 37%/302; Carbamic acid, acetylthio-, O-methyl ester - 27%/133; 4-Ethylbenzoic acid, ethyl ester - 25%/178) | (4-Hydroxyphenylpyruvic acid, methyl ether, methyl ester - 38%/208; Methyl 2-[1-(4-methylphenyl)hydrazino]propanoate - 37%/208; Rhodanine - 35%/133) | (Silane, dodecyldiethoxymethyl- - 38%/302; Formamide, N-ethyl-N-phenyl- - 38%/149; 1H-Indole-3-thiol - 22%/149)",4.257,0,0,0,0,0,0,0,0.501177308,0.248614557,0,0,0.114349086,0.130264015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100012882,0,0,0,,,,,,Mean,SD,95% CI,SE,% of Total,,Mean,SD,95% CI,SE,% of Total,,Mean,SD,95% CI,SE,% of Total,,Mean,SD,95% CI,SE,% of Total
cis-1-Butyl-2-methylcyclopropane,4.376,0,0,0.086264125,0.025994395,0.068287564,0,0.065714723,0,0,0,0.06544054,0,0,0.424369207,0.069743466,0,0.027357833,0.061839322,0,0,0,0,0.051075315,0.080959217,0.067892782,0,0,0.03656671,0,0.100168428,0.061107166,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.165734161,0.188799071,0.213642336,0.109001192,5.770336924
"3-Octene, (E)",4.38,0,0.113823096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063935387,0.079339836,0,0,0,0.203230138,0,0,0,0,0,,,,,,0.097218305,0.16298315,0.120737388,0.061600708,18.91434165,,0.033321219,0.037711247,0.027936369,0.01425325,4.405947672,,0.035180115,0.037495201,0.042429034,0.021647466,6.116139066,,0.010906757,0.026715989,0.030231432,0.0154242,0.379738615
4-Heptanone ,4.454,0,0,0,0.022885469,0,0,0.037572562,0.18541843,0,0,0,0,0,0,0.054341224,0,0.01259161,0,0,0,0,0,0,0.049197892,0.053120224,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.023879204,0.037312853,0.02764124,0.014102674,3.157463194,,0.016260442,0.043021087,0.048682048,0.02483778,2.82691305,,0,0,#NUM!,#NUM!,0
Octane ,4.464,0,0,0.121669527,0,0,0,0,0,0,0,0,0,0.278988585,0,0,0,0,0,0,0,0,0,0,0,0,0.229347755,0,0,0.058251933,0.068455677,0,,,,,,0.011155472,0.021747873,0.016110754,0.008219772,2.170356877,,0.017053019,0.026447525,0.019592241,0.009996041,2.254860826,,0.008636862,0.0153475,0.017367012,0.00886072,1.501537057,,0.030903072,0.075696757,0.08565737,0.04370274,1.07594677
"2,4-Dimethyl-1-heptene ",4.907,0,0.060794027,0,0,0.041706411,0,0.060565435,0,0,0,0.108612188,0,0.074261421,0,0,0,0.02575007,0.060250168,0,0,0.095623527,0,0.075595086,0.079824263,0.062891964,0,0,0.082018112,0.07201656,0.09422754,0.05202734,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.017381361,0.045986759,0.05203796,0.02654998,3.021787184,,0.046498098,0.113896613,0.128883783,0.065757032,1.618916025
"\2-Pentanone, 4-hydroxy-4-methyl",4.916,0,0,0.162678488,0.030065568,0,0,0,0,0,0,0,0,0,0,0.062629727,0.129035234,0,0,0,0,0,0.276561733,0,0,0,0.40324987,0,0,0,0,0,,,,,,0.014333373,0.024740555,0.018327723,0.009350879,2.78863447,,0.052322473,0.041856758,0.03100735,0.015820077,6.918416769,,0.023295125,0.029734577,0.033647223,0.017166951,4.049907776,,0.030478935,0.048451157,0.054826638,0.027972775,1.061179676
"3-Hexanone, 2-methyl",5.26,0,0,0,0,0,0,0,0,0.18181936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176566781,0,0,0,0,0,,,,,,0.03194416,0.053758717,0.039824283,0.020318512,6.214907372,,0.046093622,0.112905855,0.083640291,0.042673618,6.094797654,,0.027534865,0.060636962,0.068615921,0.035008123,4.786995817,,0,0,#NUM!,#NUM!,0
Pyrazole-1-methanol,5.633,0,0,0.059281935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158258307,0,0,0,0.363207499,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.030303227,0.074227443,0.083994715,0.042854447,1.055062073
 Mesitylene,6.618,0,0,0,0,0,0,0,0,0.282771042,0,0,0,0.06823714,0,0,0,0,0,0,0,0,0,0,0,0,0.287321623,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.026376385,0.064608683,0.047861903,0.024419338,3.487656625,,0.008468848,0.022406465,0.025354837,0.012936141,1.472327519,,0,0,#NUM!,#NUM!,0
"Pentane, 2,2,3,3-tetramethyl",7.094,0,0.05400854,0.05222761,0,0,0,0.05657623,0.110819246,0,0,0.059191119,0,0.083556645,0,0.056473569,0,0.080615322,0.060005813,0,0,0.058847866,0.053144015,0.055301246,0.095506246,0.116569381,0,0,0.058319709,0,0.064034621,0.039394031,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.058501364,0.113208933,0.128105613,0.065360007,2.036831612
"Octane, 3,4,5,6-tetramethyl",7.152,0,0.084157736,0.076898721,0.032092651,0.119492212,0,0.063293589,0,0,0.585209121,0,0.12391633,0.059114122,0,0.081982729,0.059975895,0.032244667,0.050426305,0,0,0.049941569,0.052274354,0.050220333,0.050972344,0,0.157836162,0,0.08080809,0.069784588,0,0.063150018,,,,,,0.032849117,0.036917217,0.027348155,0.01395314,6.390971643,,0.063228126,0.040171318,0.029758782,0.015183052,8.360432869,,0.023258911,0.029036405,0.032857181,0.016763868,4.043612042,,0.042261168,0.049092095,0.055551914,0.028342813,1.471399614
"Hexanoic acid, 2-ethyl-, methyl ester",7.569,0,0,0,0,0,0,0,0.287345943,0.120406958,0,0.081574001,0.076485924,0.174062568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.037438266,0.033139294,0.024549482,0.012525246,7.28381508,,0.033901433,0.02627237,0.019462486,0.00992984,4.482667392,,0.053704987,0.044945826,0.050860056,0.025949008,9.336728078,,0.128039929,0.22932689,0.259503037,0.132399509,4.457943521
"Benzene, 1,3-diethyl",7.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279054757,0,0,0,0,0.032784777,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.123312566,0.098622295,0.111599582,0.056938562,4.29335175
"Ether, hexyl pentyl ",7.885,0,0.054712657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031106926,0.036277404,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
3-Hydroxy-3-methylvaleric acid,7.892,0,0,0,0,0,0,0,0.214795835,0,0,0,0,0.125738424,0,0.065334646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.011230722,0.017475218,0.012945585,0.00660489,1.484998838,,0.007816094,0.020679441,0.02340056,0.011939061,1.358844817,,0,0,#NUM!,#NUM!,0
"Benzene, 1,4-diethyl",7.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087704566,0,0,0,0.33023192,0,0,0,0,0,,,,,,0.010889108,0.026672757,0.019759092,0.010081169,2.11853418,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.05675571,0.092325661,0.104474401,0.053303266,1.97605349
"Phenol, 3,4,5-trimethyl",8.134,0,0,0,0.017971095,0.031480263,0,0,0.194662109,0.144172882,0,0.122769537,0.182397336,0.251264295,0,0,0,0.011716591,0,0,0,0,0.047164119,0,0,0.024305328,0,0,0,0,0,0.033013219,,,,,,0,0,#NUM!,#NUM!,0,,0.014617428,0.035805239,0.026524405,0.01353286,1.932811095,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
"1R,2c,3t,4t-Tetramethyl-cyclohexane ",8.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040617217,0.040557781,0,0.032328794,0,0,0,0,0.037865154,0,0,0,0,0,0,0,0,,,,,,0.001952765,0.004783278,0.003543437,0.001807876,0.379920929,,0.011911574,0.019818625,0.014681573,0.007490598,1.575025628,,0.00706448,0.012679505,0.014347947,0.007320381,1.228175067,,0.149211027,0.085522474,0.096776011,0.049375516,5.195053881
"Ethanol, 2-(octyloxy)",8.14,0,0,0,0,0,0,0.042335156,0,0,0,0,0,0,0,0,0.045133416,0,0,0,0,0,0,0,0,0,0,0,0.034442763,0,0.041573359,0,,,,,,0.018917299,0.020941145,0.015513132,0.007914863,3.680461738,,0.006310859,0.015458384,0.011451521,0.005842613,0.834462698,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
" 1-Undecene, 7-methyl",8.2,0,0.050263738,0,0,0.026399175,0,0.041729357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046651531,0,0,0,0,0,0.054426248,0.046262848,0,0.038346116,,,,,,0.007522236,0.01842564,0.013649654,0.006964109,1.463491292,,0,0,#NUM!,#NUM!,0,,0.006047879,0.016001185,0.018106712,0.009238119,1.051436907,,0,0,#NUM!,#NUM!,0
1-Dodecanol ,8.206,0,0,0.050955594,0.017432368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042951613,0,0,0,0,0.036931793,0,,,,,,0,0,#NUM!,#NUM!,0,,0.007775255,0.019045408,0.014108776,0.007198355,1.028094674,,0.016913181,0.02221977,0.025143575,0.012828355,2.940393161,,0,0,#NUM!,#NUM!,0
Undecane ,8.407,0,0.12326574,0,0,0,0,0,0,0,0,0,0,0.053248271,0,0.216533678,0,0,0,0,0,0.178600828,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.007158602,0.017534923,0.012989814,0.006627456,0.946556812,,0.009769709,0.019288293,0.021826358,0.011135897,1.698485003,,0,0,#NUM!,#NUM!,0
Nonanal ,8.505,0,0,0.140295391,0,0.069477561,0,0,0,0,0,0,0,0,0,0.195567596,0.160606849,0,0,0,0,0,0.303830511,0,0,0.04311617,0.452628315,0,0,0,0,0,,,,,,0.036088946,0.088399504,0.065486065,0.033411258,7.021297697,,0.029766805,0.072913483,0.054014071,0.0275582,3.935959976,,0.017609391,0.046590071,0.052720659,0.026898295,3.061430771,,0.008874712,0.021738516,0.024598994,0.012550507,0.30898927
Cyclopropanecarboxylic acid,8.515,0,0.135277035,0,0,0,0,0,0.175474241,1.168141626,0,0,0.061914809,0.111098889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.059362408,0.092625992,0.068617034,0.035008691,11.54927419,,0.057824447,0.121745623,0.090188763,0.046014675,7.645923381,,0.029967565,0.055111317,0.06236318,0.031817949,5.209925878,,0,0,#NUM!,#NUM!,0
5-Methylthiopyridin-2-ol,9.171,0,0,0,0,0,0,0,0,0.17650054,0,0,0,0,0,0.198177744,0,0,0.059567328,0,0.107699515,0.092336978,0,0,0,0,0,0,0.044022179,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.019325291,0.051129913,0.05785788,0.029519327,3.359743565,,0.252771594,0.453467,0.513136788,0.261804484,8.800703804
3-Trimethylsilyloxyhex-4-yne,9.176,0,0.175702801,0.058527721,0,0,0,0,0.286868785,0,0,0,0,0.06328054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.042957512,0.079687637,0.059032343,0.030118542,8.357613941,,0.033339415,0.051877169,0.038430438,0.019607366,4.408353731,,0,0,#NUM!,#NUM!,0,,0.029416757,0.072056044,0.081537591,0.041600812,1.024198006
"1-Hexanol, 5-methyl-2-(1-methylethyl)",10.538,0,0,0,0,0,0,0.023806785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021413493,0,0,0,0,0,0.0339683,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.033461503,0.066406906,0.075145108,0.038339341,5.817354655,,0.058358221,0.114772849,0.129875319,0.066262918,2.031847832
4-Phenyl-2-butanol ,10.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16543453,0,0,0,0.316800003,0,0,0,0.140521571,0,,,,,,0,0,#NUM!,#NUM!,0,,0.003568916,0.008742022,0.006476061,0.003304113,0.471905155,,0.003400969,0.008998119,0.010182143,0.005194971,0.591265873,,0,0,#NUM!,#NUM!,0
"Benzene, 1,3-bis(1,1-dimethylethyl)-",10.784,0,0.135485517,0.185445611,0.07679601,0.138294909,0.221127935,0.124679805,0,0.266210121,0,0.133210473,0.120913776,0.162446982,0,0.192623776,0.160843351,0.076414557,0.116026889,0,0,0.084695841,0.413912557,0.134842238,0.168300997,0.139123879,0.47358088,0,0.130266088,0.164070689,0,0.140064373,,,,,,0,0,#NUM!,#NUM!,0,,0.027572422,0.067538364,0.050032201,0.025526633,3.645804417,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
"Ethanone, 1-(4-ethylphenyl)-",10.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602746136,0,0,0,0,0,,,,,,0.090984762,0.080754646,0.05982278,0.030521826,17.70157258,,0.156812585,0.139153855,0.103084724,0.052594247,20.73477703,,0.125975684,0.072022006,0.081499074,0.04158116,21.90114495,,0.113796892,0.101905472,0.115314778,0.058834071,3.962046231
" Butanoic acid, 2-(1-Propenyl)-6-methylphenol - ",11.039,0.04496986,0.072398192,0,0,0,0,0.023669416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016076908,0,0,0,0,0,0.024612399,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
m-Ethylacetophenone - ,11.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465532711,0,0,0,0.747050143,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.002679485,0.00656337,0.004862123,0.002480675,0.354298844,,0.02014821,0.02881659,0.032608443,0.016636961,3.502809816,,0,0,#NUM!,#NUM!,0
 (S-(Propoxythiocarbonyl)thiohydroxylamine -,11.417,0,0,0,0.013312918,0,0,0.025892738,0.143888708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.077588785,0.190052933,0.140790596,0.071831937,10.25929237,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
Triallylvinylsilane -,11.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01576655,0,0,0.031610834,0,0.035341755,0.028062354,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.005600808,0.01023136,0.011577661,0.00590697,0.973712572,,0.023981451,0.058742319,0.06647197,0.033914271,0.834957944
"1-Ethyl-2,2,6-trimethylcyclohexane -",11.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028743603,0,0,0,0,0,0,0.026528048,0,0,0,0.032965804,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.002627758,0.006436667,0.004768262,0.002432787,0.347459252,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
"2,3,6-Trimethylhept-3-en-1-ol -",11.544,0,0,0,0.0203427,0.032365308,0,0.032645126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.004790601,0.011734527,0.008692899,0.004435153,0.932036983,,0.004421341,0.01083003,0.008022851,0.004093291,0.584618424,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0
"Ketone, methyl 2,2,3-trimethylcyclopentyl",11.664,0,0,0,0,0,0,0.03580462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029377534,0,0,0,0,0,0.039782382,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.012193305,0.015739049,0.017810084,0.009086777,2.119832396,,0,0,#NUM!,#NUM!,0
"Dodecane, 4-methyl-",11.67,0,0.055005711,0,0.023591519,0,0,0,0,0,0,0,0,0,0,0.051219709,0,0,0.042309541,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0.004896256,0.011993328,0.008884618,0.004532969,0.647414675,,0.005114946,0.013532874,0.015313607,0.007813065,0.889244358,,0,0,#NUM!,#NUM!,0
"Benzene, 4-ethyl-1,2-dimethoxy- ",11.678,0,0,0,0,0,0,0,0.427559515,0.277911083,0,0.089302678,0.67290964,1.481834478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.015588208,0.024312969,0.018010969,0.00918927,3.032769376,,0,0,#NUM!,#NUM!,0,,0.011228176,0.021211964,0.024003156,0.012246508,1.952042635,,0,0,#NUM!,#NUM!,0
.alpha.-Cubebene,13.217,0,0,0,0,0,0,0,0,0,0,0.218214607,0.116114546,0.131070926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.491586232,0.541611547,0.6128799,0.312693826,17.11547076
Germacrene D,13.371,0,0,0,0,0,0,0,0.276254543,0,0,0.327526396,0.165484993,0.196784008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.07756668,0.091847974,0.103933857,0.053027478,2.700625353
"(1R,4S,5S)-1,8-Dimethyl-4-(prop-1-en-2-yl)spiro[4.5]dec-7-ene ",13.816,0,0,0,0,0,0,0,0,0.251475822,0.432079381,0.76030533,0.485494559,0.470497166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.161008323,0.137227738,0.155284951,0.079227016,5.605798272
Di-epi-.alpha.-cedrene ,15.892,0,0,0,0,0,0,0,0,0.407658515,0.403623931,0,0.717953727,0.590905055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.399975376,0.255024554,0.288582147,0.147235789,13.92587181
" Benzimidazole, 2-ethyl-1-propyl-",18.422,0,0,0,0,0,0,0,0,0,0,0.062356727,0.056076189,0.053020958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.353356871,0.298180351,0.337416632,0.172151343,12.30276358
"Hexanedioic acid, bis(2-ethylhexyl) ester ",23.112,0,0.208898581,0,0,0,0,0,0,0.532788656,0,0.136626684,0,0,0,0.243519684,0,0,0,0,0,0.205534762,0,0,0,0,0,0,0,0,0.056115085,0,,,,,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0,0,#NUM!,#NUM!,0,,0.028575646,0.031447471,0.03558551,0.018155872,0.99491319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040586614,0.099416495,0.073647417,0.037575213,7.896343032,,0.034255794,0.083909215,0.062159674,0.031714119,4.529523197,,0.029842654,0.078956242,0.089345757,0.04558457,5.188209995,,0.111569223,0.213468711,0.241558148,0.123243953,3.88448588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513992538,,,,100,,0.756278136,,,,100,,0.575201361,,,,94.81179,,2.872174767,,,,100
